ZONE;P1;P2;FINAL;FINAL_prediction
25;19;18;27;23
28;20;20;30;26
28;14;20;27;24
25;17;17;24;22
30;16;20;24;25
20;19;0;0;8
30;18;20;30;26
25;18;20;18;24
30;20;16;25;24
30;20;20;27;27
30;20;20;30;27
28;16;20;27;25
30;18;20;25;26
30;20;20;25;27
28;17;20;30;25
30;18;17;24;24
30;16;20;24;25
25;14;16;0;20
20;19;20;26;23
23;20;20;24;24
25;20;20;24;25
30;15;20;25;25
30;20;20;30;27
30;19;17;20;24
0;0;0;0;-6
0;20;0;0;1
0;17;0;0;0
30;18;20;25;26
0;0;0;0;-6
30;18;18;20;25
25;18;17;20;22
0;0;0;0;-6
30;18;20;25;26
30;20;20;20;27
30;20;20;20;27
30;20;20;30;27
30;19;19;20;26
30;20;17;20;24
30;20;20;25;27
30;18;20;20;26
25;18;17;20;22
25;18;18;20;23
25;20;0;0;10
25;20;16;0;22
25;20;20;30;25
25;20;20;30;25
25;20;20;30;25
25;20;20;30;25
25;20;20;30;25
0;20;0;0;1
25;20;20;30;25
25;20;17;0;23
25;20;20;30;25
0;20;0;0;1
25;20;20;0;25
25;20;20;30;25
25;20;20;30;25
25;16;18;20;22
0;0;0;0;-6
25;20;20;30;25
0;0;0;0;-6
25;20;20;30;25
25;20;20;0;25
25;20;20;30;25
25;0;0;0;2
25;0;0;0;2
25;20;0;0;10
25;20;10;20;17
25;20;18;30;23
25;20;20;30;25
25;20;20;30;25
25;20;20;20;25
25;20;20;20;25
25;20;20;20;25
25;20;20;20;25
25;16;16;0;20
19;20;20;30;23
25;20;20;30;25
19;20;14;30;18
20;20;12;30;17
28;20;15;30;22
28;20;20;30;26
28;20;20;30;26
19;20;16;30;20
25;20;18;30;23
25;20;15;30;21
25;20;15;30;21
27;20;18;30;24
25;20;18;27;23
19;20;14;30;18
25;20;18;30;23
26;20;13;30;20
19;20;20;18;23
25;20;18;21;23
27;20;18;30;24
28;20;18;30;25
5;20;14;0;13
0;20;14;0;11
30;20;18;30;25
20;20;17;26;21
22;20;18;24;22
25;20;20;15;25
29;20;20;30;26
23;20;20;30;24
15;0;10;0;6
25;20;20;15;25
25;20;20;30;25
30;20;20;30;27
20;20;15;30;19
27;20;20;30;26
25;20;20;27;25
22;20;18;26;22
28;20;14;30;21
25;20;20;15;25
0;20;12;0;10
25;20;18;30;23
0;0;12;0;2
25;20;20;15;25
25;20;20;30;25
25;20;20;15;25
0;20;12;0;10
29;20;20;23;26
15;20;20;30;21
15;20;20;30;21
20;20;12;30;17
23;20;12;30;18
29;20;20;30;26
30;20;20;30;27
28;20;16;30;23
27;20;20;23;26
28;20;18;30;25
19;20;20;30;23
28;20;20;26;26
20;20;16;30;20
28;20;20;30;26
0;0;12;0;2
