ZONE;P1;P2;FINAL;SCORE;CLASI
25;19;18;27;89;B+
28;20;20;30;98;A
28;14;20;27;89;B+
25;17;17;24;83;B
30;16;20;24;90;A-
20;19;0;0;39;F
30;18;20;30;98;A
25;18;20;18;81;B
30;20;16;25.50;92;A-
30;20;20;27;97;A
30;20;20;30;100;A+
28;16;20;27;91;A-
30;18;20;25.50;94;A-
30;20;20;25.50;96;A
28;17;20;30;95;A
30;18;17;24;89;B+
30;16;20;24;90;A-
25;14;16;0;55;F
20;19;20;26.10;85;B+
23;20;20;24;87;B+
25;20;20;24;89;B+
30;15;20;25.50;91;A-
30;20;20;30;100;A+
30;19;17;20;86;B+
0;0;0;0;0;--
0;20;0;0;20;F
0;17;0;0;17;F
30;18;20;25;93;A-
0;0;0;0;0;--
30;18;18;20;86;B+
25;18;17;20;80;B
0;0;0;0;0;--
30;18;20;25;93;A-
30;20;20;20;90;A-
30;20;20;20;90;A-
30;20;20;30;100;A+
30;19;19;20;88;B+
30;20;17;20;87;B+
30;20;20;25;95;A
30;18;20;20;88;B+
25;18;17;20;80;B
25;18;18;20;61;F
25;20;0;0;45;F
25;20;16;0;61;F
25;20;20;30;95;A
25;20;20;30;95;A
25;20;20;30;95;A
25;20;20;30;95;A
25;20;20;30;95;A
0;20;0;0;20;F
25;20;20;30;95;A
25;20;17;0;62;F
25;20;20;30;95;A
0;20;0;0;20;F
25;20;20;0;65;F
25;20;20;30;95;A
25;20;20;30;95;A
25;16;18;20;79;B-
0;0;0;0;0;--
25;20;20;30;95;A
0;0;0;0;0;--
25;20;20;30;95;A
25;20;20;0;65;F
25;20;20;30;95;A
25;0;0;0;25;F
25;0;0;0;25;F
25;20;0;0;45;F
25;20;10;20;75;B-
25;20;18;30;93;A-
25;20;20;30;95;A
25;20;20;30;95;A
25;20;20;20;85;B+
25;20;20;20;85;B+
25;20;20;20;85;B+
25;20;20;20;85;B+
25;16;16;0;57;F
19;20;20;30;89;B+
25;20;20;30;95;A
19;20;14;30;83;B
20;20;12;30;82;B
28;20;15;30;93;A-
28;20;20;30;98;A
28;20;20;30;98;A
19;20;16;30;85;B+
25;20;18;30;93;A-
25;20;15;30;90;A-
25;20;15;30;90;A-
27;20;18;30;95;A
25;20;18;27;90;A-
19;20;14;30;83;B
25;20;18;30;93;A-
26;20;13;30;89;B+
19;20;20;18;77;B-
25;20;18;21;84;B
27;20;18;30;95;A
28;20;18;30;96;A
5;20;14;0;39;F
0;20;14;0;34;F
30;20;18;30;98;A
20;20;17;26;83;B
22;20;18;24;84;B
25;20;20;15;80;B
29;20;20;30;99;A
23;20;20;30;93;A-
15;0;10;0;25;F
25;20;20;15;80;B
25;20;20;30;95;A
30;20;20;30;100;A+
20;20;15;30;85;B+
27;20;20;30;97;A
25;20;20;27;92;A-
22;20;18;26;86;B+
28;20;14;30;92;A-
25;20;20;15;80;B
0;20;12;0;32;F
25;20;18;30;93;A-
0;0;12;0;12;F
25;20;20;15;80;B
25;20;20;30;95;A
25;20;20;15;80;B
0;20;12;0;32;F
29;20;20;23;92;A-
15;20;20;30;85;B+
15;20;20;30;85;B+
20;20;12;30;82;B
23;20;12;30;85;B+
29;20;20;30;99;A
30;20;20;30;100;A+
28;20;16;30;94;A-
27;20;20;23;90;A-
28;20;18;30;96;A
19;20;20;30;89;B+
28;20;20;26;94;A-
20;20;16;30;86;B+
28;20;20;30;98;A
0;0;12;0;12;F
